"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "HTSL", "Ignore", "Python", "YAML", "comment", "blank", "total"
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\player_stats.htsl", "HTSL", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\shorthands.htsl", "HTSL", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\teleport.htsl", "HTSL", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\tokens\comments.htsl", "HTSL", 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\tokens\identifiers.htsl", "HTSL", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\tokens\tokens.htsl", "HTSL", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"c:\Users\Sandy\Documents\Projects\htsl\test\helpers.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Sandy\Documents\Projects\htsl\test\lexer.test.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Sandy\Documents\Projects\htsl\test\parseAndGenerate.test.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\Sandy\Documents\Projects\htsl\tsconfig.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"Total", "-", 11395, 91, 480, 10511, 395, 2, 50, 32, 7398, 2910, 33264
